(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,output per unit medium cost (mg/CNY)
0,41,38,0,36,28,108,153,159,57,0,127,38,6,26,21,7.52510482
0,47,28,113,40,40,119,208,45,34,6,89,35,6,26,46,5.327364847
8,47,0,181,43,47,119,117,181,11,6,108,38,53,13,11,4.879208325
0,53,85,23,40,36,62,135,181,102,0,118,42,53,34,26,0
0,0,0,91,28,17,119,81,113,91,6,89,14,24,34,51,4.224873794
8,47,19,136,21,40,142,226,0,68,6,108,14,47,17,21,4.970043377
0,24,57,23,40,25,96,208,0,79,6,99,38,6,17,36,5.754452447
0,6,19,204,25,43,142,244,68,68,6,51,28,53,13,26,3.062483755
8,41,38,181,32,40,119,244,136,23,6,108,10,35,42,11,5.15784941
0,24,47,91,47,36,96,99,136,79,6,61,31,47,9,6,4.858433492
0,41,47,91,43,25,130,172,159,11,6,61,21,47,42,36,4.811711751
0,18,9,0,43,47,153,226,159,45,0,99,42,0,42,36,6.169287429
0,18,19,0,17,32,96,99,91,23,0,70,24,41,13,36,8.589145588
0,53,57,113,25,40,108,135,0,68,6,99,28,29,26,26,5.534342598
0,12,28,181,36,28,51,81,91,79,6,51,38,47,34,16,4.195790872
8,12,47,159,43,28,130,99,204,57,0,108,28,53,21,6,4.910240093
0,0,9,204,36,36,85,172,91,34,0,118,17,12,34,46,3.970822113
8,29,47,0,28,32,119,244,204,23,6,127,21,29,34,6,5.993484196
0,35,19,204,25,21,142,190,159,57,6,127,28,35,30,26,4.753756011
0,41,19,159,21,17,142,208,113,91,6,127,17,35,42,21,5.24497662
8,53,38,68,43,25,153,244,204,102,6,108,17,12,26,16,4.744369919
0,24,47,181,51,43,153,226,23,91,0,118,42,18,17,31,4.743103485
0,24,47,68,47,40,153,208,113,57,0,118,28,18,26,11,6.423198811
0,24,19,113,47,32,130,172,136,91,6,99,35,29,26,36,5.42634283
8,47,19,23,21,17,153,244,159,79,6,108,17,47,42,26,6.482626289
0,53,0,159,17,17,85,244,181,57,0,89,24,53,34,6,5.168339196
8,24,28,159,28,43,96,226,181,57,0,89,38,41,9,36,5.522517661
8,24,47,181,21,36,62,244,181,79,0,89,31,12,13,21,5.147593093
0,18,9,159,43,43,85,226,113,34,0,80,31,47,21,16,6.132262141
0,24,19,45,21,40,108,226,159,34,0,80,10,47,38,46,6.656963226
0,41,38,45,32,17,130,244,68,102,6,108,21,41,34,21,6.472796508
0,35,47,0,40,32,108,244,23,102,6,118,14,24,30,6,6.782781998
8,53,28,68,32,32,142,172,181,68,6,89,42,35,21,46,5.64720858
8,18,0,159,28,51,51,226,204,45,0,99,17,47,5,16,5.38598912
0,41,38,45,36,40,74,99,159,102,0,99,38,35,30,36,8.728535794
8,24,28,181,21,43,96,208,45,11,0,118,38,24,26,26,5.629813934
