(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
14.625657,7.105971,7.750772,-3.39511,0.2120072,2.3137481,-0.23361872,6.156126,-4.2434716,-0.85541064,26.131672,19.04192,1.4574357,7.456497,0.27873343,0.5160023
12.327205,6.195559,7.9369106,-0.74873334,-0.07610953,-0.78677607,-4.574769,1.7413462,2.4098113,1.2317508,23.402727,-4.5833726,-0.3365329,3.8989024,-0.89595544,-3.7040539
14.361435,7.4090996,9.78006,-2.6736884,0.6844672,-1.3416989,-0.35853177,19.189707,1.6934502,-4.6255274,21.726727,-1.4197383,2.6332922,5.332579,0.6057181,-4.3593903
12.957549,5.5410256,6.6261163,-5.4865026,-2.9444003,-0.23151854,-3.3603318,-9.115231,1.1321973,0.977248,23.052383,14.177212,-0.014166778,-4.450607,-2.6483283,0.19217768
13.588775,5.2847085,11.383958,4.876688,-0.9294516,-2.6321607,4.5421753,4.6017346,1.5264579,0.20564027,22.540037,13.656939,-3.4043965,-3.0483403,0.537253,2.7450888
13.524338,7.876709,6.9832773,-0.26785904,2.5156658,2.827202,-3.533017,-9.270234,1.7388153,-0.846532,21.461193,10.729656,4.345157,7.472798,1.1606504,3.6139262
11.184238,1.0778239,7.80652,-0.7742602,3.0273945,-1.09099,-2.2613802,-8.832258,-4.871899,-3.5921826,17.919533,-42.762627,0.33507913,4.494306,-1.5641266,-1.9740183
12.624192,4.4642854,5.1310315,4.5811286,-0.4862062,-0.94013774,-1.3626215,-1.3833258,-0.9203438,-1.642087,24.53188,-6.4469795,-2.9391532,-10.01424,-3.1957242,0.53339136
16.07243,8.239322,11.588609,3.9963994,0.88486207,-0.81931823,1.7582607,14.232457,2.9834247,-0.034090403,24.55508,16.964685,0.0071058646,6.33282,-1.7196301,-1.3634607
11.936577,3.2998416,8.30476,5.718377,-1.9852556,1.0380675,-5.6478496,-2.6296656,0.42701596,-6.443118,20.68023,-5.1082487,-1.0470074,-5.971681,-1.2562335,-0.9218201
14.301228,6.048168,7.2970986,-0.27851838,2.4236684,2.0544116,-2.89093,-7.704129,2.8401139,-1.6338464,26.209494,18.55688,-1.8220156,7.4265065,4.966628,4.0969205
13.984499,4.0108366,7.29847,5.946303,0.52219546,-1.6668947,4.094884,1.5834951,-4.517532,-5.147506,23.842386,11.778011,-0.118220985,0.14863308,4.832627,-0.5358444
12.758272,6.714773,9.347962,-0.34133205,-2.7955625,0.7758942,-2.5161407,-0.24370642,1.4638374,-1.9792812,23.048595,10.254694,-0.69326526,3.1177213,-2.2028909,-0.34985635
14.972357,6.982874,6.5064855,-3.2823873,0.5988538,-1.3977859,-4.426407,0.2030802,2.9189532,-0.06801086,23.393904,15.735706,-0.555952,5.6908393,-2.041739,0.75155747
