(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,regressors_std,mean_vote,UCB
8.0,53.0,38.0,45.0,28.0,25.0,62.0,172.0,91.0,0.0,6.0,71.0,14.0,30.0,18.0,31.0,182.78525,184.79149,168.96214,167.22527,171.66637,8.131137,175.0861,183.21724
8.0,6.0,47.0,159.0,21.0,32.0,96.0,82.0,68.0,34.0,0.0,118.0,21.0,53.0,14.0,11.0,164.6331,189.78021,175.83374,156.99478,163.58025,12.8870735,170.16441,183.05148
53.0,41.0,0.0,45.0,47.0,36.0,62.0,245.0,136.0,11.0,6.0,90.0,42.0,24.0,5.0,46.0,171.40799,181.7539,176.60408,146.78622,132.7989,21.071812,161.87022,182.94203
45.0,47.0,28.0,91.0,47.0,36.0,96.0,245.0,159.0,57.0,6.0,90.0,35.0,53.0,38.0,6.0,176.23279,189.55772,150.00488,118.99949,122.68895,31.419327,151.49678,182.9161
8.0,35.0,66.0,136.0,21.0,47.0,96.0,209.0,45.0,34.0,0.0,80.0,32.0,6.0,38.0,26.0,176.26305,181.33966,170.12941,140.22516,165.42607,15.969266,166.67667,182.64594
45.0,41.0,0.0,91.0,25.0,36.0,96.0,245.0,136.0,102.0,6.0,128.0,18.0,47.0,22.0,31.0,164.88295,195.35683,155.60272,134.90039,126.79406,27.041595,155.5074,182.549
15.0,0.0,0.0,91.0,36.0,47.0,74.0,82.0,159.0,23.0,6.0,99.0,18.0,24.0,34.0,26.0,180.38283,185.22679,151.61208,135.06488,124.75653,26.83592,155.40862,182.24454
0.0,41.0,0.0,91.0,28.0,21.0,51.0,209.0,159.0,23.0,13.0,61.0,39.0,41.0,22.0,51.0,122.04544,199.52362,148.76338,157.57616,135.82335,29.394888,152.7464,182.14128
0.0,53.0,9.0,23.0,43.0,43.0,142.0,190.0,91.0,102.0,38.0,80.0,32.0,30.0,38.0,46.0,188.49332,170.39424,147.69748,106.02311,141.17668,31.272652,150.75697,182.02963
8.0,47.0,28.0,204.0,32.0,51.0,130.0,172.0,45.0,79.0,6.0,61.0,42.0,0.0,22.0,16.0,162.70256,191.92882,160.33133,150.80653,167.36566,15.378975,166.62698,182.00595
0.0,41.0,0.0,113.0,36.0,32.0,153.0,154.0,68.0,45.0,19.0,99.0,39.0,41.0,34.0,11.0,183.94511,177.13611,153.23524,114.68694,138.40967,28.371689,153.48262,181.85431
0.0,24.0,0.0,159.0,32.0,28.0,153.0,136.0,181.0,79.0,13.0,109.0,11.0,41.0,26.0,51.0,164.8705,192.1304,156.31316,161.8134,141.23947,18.515858,163.27339,181.78925
0.0,30.0,0.0,159.0,32.0,36.0,62.0,100.0,113.0,23.0,25.0,109.0,14.0,47.0,34.0,11.0,172.83954,189.56126,144.00961,106.852936,130.79909,32.96178,148.81248,181.77426
0.0,6.0,19.0,136.0,40.0,32.0,119.0,82.0,204.0,68.0,6.0,80.0,42.0,0.0,42.0,11.0,164.91473,169.08815,186.44353,176.61398,163.68472,9.455381,172.14902,181.6044
60.0,18.0,9.0,23.0,25.0,36.0,153.0,227.0,45.0,23.0,6.0,118.0,42.0,47.0,34.0,6.0,173.4491,185.54718,162.64436,140.31851,129.92136,23.018633,158.3761,181.39473
