Round,YE (g/L),Tryptone (g/L),NaCl (g/L),K2HPO4 (g/L),MgSO4·7H2O (g/L),Glycerol (g/L),FAC (g/L),Na2S2O3 (g/L),Triton X-100 (g/L),Glycine (g/L),NH4OAc (g/L),CSL-P (g/L),ZnSO4·7H2O (g/L),Methionine (g/L),Cysteine (g/L),(NH4)2SO4 (g/L),EGT titer (mg/L),Medium material cost (CNY/L),EGT efficiency cost (mg /CNY)
Round 2,17.205882,12.705882,4.5,3,0.8,41.647059,0.145882,5.364706,3.858824,5.529412,0.847059,23.382353,0.564706,6,5.352941,0,235.410184,52.230416,4.507147
Round 2,25.294118,10,3.176471,2.529412,1.6,24.705882,0.028235,2.964706,0,5.529412,0.847059,26.617647,1.129412,1.323529,5.352941,0,208.878657,51.501327,4.055792
Round 2,11.911765,8.705882,1.852941,1.882353,1.223529,41.647059,0.169412,5.364706,2.729412,6.705882,0,10,1.647059,3.323529,3.352941,0,316.621453,33.182318,9.541873
Round 2,14.558824,16.705882,3.529412,2.352941,0.235294,24.705882,0.145882,2.4,4.988235,3.294118,0.847059,20,1.929412,2,5.352941,0,231.14123,49.723449,4.648536
Round 2,19.852941,10,1.852941,2.117647,1.411765,38.117647,0.075294,1.411765,3.294118,0,0,16.617647,1.647059,0.676471,0,0,248.900893,37.278435,6.676806
Round 2,25.294118,14,3.794118,1,1.788235,38.117647,0.192941,5.929412,3.294118,5.529412,0,6.617647,1.647059,5.323529,5.352941,0,313.678756,46.165047,6.794724
Round 2,35.882353,8.705882,3.529412,2.764706,0.423529,14.823529,0.145882,3.952941,3.294118,1.058824,0,20,0.847059,2.676471,4,0,195.448633,49.799101,3.924742
Round 2,19.852941,7.294118,1.852941,2.529412,1.411765,28.235294,0.169412,2.4,1.694118,1.058824,0,13.382353,2.494118,1.323529,0.647059,0,258.897384,32.487136,7.969228
Round 2,14.558824,14,2.823529,3,0.8,38.117647,0.169412,5.929412,0,4.470588,0,30,1.364706,1.323529,3.352941,0,220.350337,52.003774,4.237199
Round 2,17.205882,18,1.852941,2.764706,0.611765,38.117647,0.192941,1.976471,2.258824,2.235294,0.847059,6.617647,0.282353,2.676471,6,0,262.337902,44.276849,5.924945
Round 2,30.588235,11.294118,4.5,2.764706,1.411765,44.823529,0.098824,4.376471,2.729412,6.705882,0,16.617647,1.129412,0,4.647059,0,263.376413,50.423386,5.223299
Round 2,35.882353,11.294118,3.794118,2.352941,1.788235,38.117647,0.24,4.376471,3.294118,0,0.847059,6.617647,0.564706,4,6,0.941176,320.056086,47.254181,6.773074
Round 2,19.852941,10,1.5,2.117647,0.8,24.705882,0.075294,5.929412,2.729412,0,0,13.382353,0.847059,0,4,0,198.085039,37.476666,5.285557
Round 2,11.911765,8.705882,3.529412,3,1.976471,28.235294,0.122353,1.411765,4.988235,4.470588,0,20,0.564706,6,1.352941,0,268.479868,38.01904,7.061721
Round 2,25.294118,7.294118,2.470588,1,0.611765,24.705882,0.145882,1.976471,3.858824,3.294118,0,3.382353,2.211765,2.676471,4,0,222.809569,32.275605,6.903343
Round 2,33.235294,7.294118,4.147059,3,1.411765,44.823529,0.192941,4.941176,3.858824,0,0,10,2.494118,3.323529,2,0,268.603615,40.928689,6.562722
Round 2,17.205882,7.294118,4.5,2.352941,1.788235,21.529412,0.051765,1.976471,1.129412,0,0.847059,16.617647,2.211765,1.323529,6,0,193.416375,36.355828,5.320093
Round 2,33.235294,8.705882,1.852941,3,0.235294,38.117647,0.192941,2.4,2.729412,2.235294,0.847059,3.382353,2.211765,6,4,0.941176,262.618506,40.361193,6.506708
Round 2,19.852941,18,3.529412,1.647059,1.976471,24.705882,0.216471,2.4,3.294118,5.529412,0,3.382353,0,2.676471,4,0,200.901887,42.314682,4.747806
Round 2,27.941176,7.294118,3.794118,2.352941,1.6,31.411765,0.051765,2.4,4.988235,2.235294,0.847059,6.617647,0.564706,0.676471,2,0,257.164755,34.283193,7.50119
